participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim,irrelevant_dim,feet_high,color_low,color_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response
183,"['Because it’s orange\xa0', 'Because it’s orange\xa0', 'Not as brightly colored', 'Not as brightly colored', 'Brightly colored', 'Not as brightly colored', 'Not sure, bad year', 'Not as brightly colored', 'Not as brightly colored', 'Brightly colored', 'Not as brightly colored', 'Not sure', 'Not as brightly colored', 'Brightly colored', 'Not sure', 'Because it blends with the leaves?']",[],"[7.0, 8.0, 5.0, 3.0, 10.0, 5.0, 4.0, 5.0, 6.0, 7.0, 1.0, 4.0, 2.0, 7.0, 4.0, 8.0]",337.045,"['Y_C', 'G_F', 'Y_F', 'G_C']","[8.0, 8.0, 5.0, 3.0]","['low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'F']","['Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G']","['low', 'high', 'high', 'low']",183,"['Y_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_C', 'Y_F', 'Y_C', 'G_F']",1,feet,color,F,G,Y,C,No,,,Yes, Red,5.0
075,"['seems to blend well with local flora, disguising it from predators', 'bright coloration may dissuade predators from attacking', 'bright spots on back may be less desirable to mates', 'unsure, bright spots might be undesirable trait for mate', 'bright spots/green skin appear to be ineffective at preventing predation', 'bright colors, rounded feet appear to be primary characteristics', 'rounded feet appear to be desired trait, either for navigation or obtaining food', 'pointed feet appear to strongly affect the fertility outcome', ""pointed feet\xa0 appear to negatively affect it's chances to either breed or reach maturity"", 'rounded feet appear to give this specimen an advantage', 'rounded feet and bright red coloration appear to give an advantage', 'pointed feet very much negatively impact the chances of this specimen', 'rounded feet gives this specimen an advantage, while the green coloration slightly lowers it', 'while this specimen has red coloration and rounded feet, it appears to be only of average fertility. Does the discoloration of the feet play a roll?', ""this specimen has pointed feet, which normally leads to lesser fertility,\xa0but a red spotted coloration which appears to offset it's negatives and still produce an above average result\xa0"", 'green coloration and pointed feet lead to a below average fertility']",[],"[8.0, 9.0, 5.0, 3.0, 1.0, 10.0, 10.0, 4.0, 3.0, 7.0, 9.0, 2.0, 6.0, 5.0, 7.0, 3.0]",682.8467,"['Y_C', 'Y_F', 'G_C', 'G_F']","[5.0, 7.0, 2.0, 4.0]","['high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'G']","['low', 'high', 'low', 'high']",75,"['G_F', 'Y_F', 'Y_C', 'G_C', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'G_C']",1,feet,color,F,G,Y,C,Yes, Round,5.0,Yes, Red,3.0
100,"['It mates in the forest.', 'It is hard to see in the forest.', 'It is hard to see and does not stand out to potential mates.', 'It has bold colors, and stands out to potential mates.', 'It does not stand out to potential mates, but maybe it saw a slight increase because of the season.', ""It's green color does not attract potential mates."", ""It's bold color helps it to stand out to potential mates, but it saw a decline because the season changed."", ""It's bold color helps it stand out, and attract mates of the opposite sex."", ""It's subtle green color does not stand out to potential mates, and therefore it does not attract many partners to reproduce with."", 'Maybe a change in season caused it to mate more often, and produce more offspring.', 'Maybe a change is season caused it to mate less often and produce below average offspring.', ""It's bold color makes it stand out as an attractive suitor to potential mates."", ""It's muted color causes it to blend in with the environment, and so it goes unnoticed by potential mates."", 'Maybe the season changed and caused it to have an above average number of offspring.', 'Maybe the season changed and caused it to have a below average number of offspring.', ""It's bold colors cause it to stand out to potential mates, and it is the season where it mates the most and produces the most offspring.""]",['Great study!'],"[6.0, 1.0, 1.0, 8.0, 2.0, 2.0, 4.0, 9.0, 2.0, 5.0, 5.0, 9.0, 2.0, 9.0, 6.0, 9.0]",508.2427,"['G_F', 'G_C', 'Y_C', 'Y_F']","[2.0, 1.0, 9.0, 9.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y']","['low', 'low', 'high', 'high']",100,"['Y_C', 'G_F', 'G_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F']",1,color,feet,F,G,Y,C,No,,,Yes, Red,7.0
061,"['Looks young as it has a tail', 'Finally I can type. \xa0Red can be seen', 'Green is female', 'Female', 'Male', 'Male', 'Male', 'Female', 'Female', 'Female', 'Male', 'Male', 'Female']",[],"[2.0, 4.0, 5.0, 10.0, 8.0, 5.0, 4.0, 2.0, 3.0, 6.0, 7.0, 1.0, 10.0, 9.0, 5.0, 4.0]",280.441,"['Y_F', 'G_F', 'Y_C', 'G_C']","[8.0, 6.0, 8.0, 6.0]","['low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['F', 'F', 'C', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['G', 'Y', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G']","['low', 'low', 'high', 'high']",61,"['G_F', 'Y_F', 'G_C', 'Y_C', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_F', 'Y_C', 'G_C', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_F']",1,feet,color,C,G,Y,F,No,,,Yes,Green,5.0
097,"['The reptile appears to lack sufficient maturity to successfully reproduce. \xa0Also, the reptile is a cartoon character.', 'The reptile has become a green color, which seems indicative of its maturing.', 'The reptile appears to be alert and healthy.', 'The reptile is now a reddish color, which seems to be getting closer to reproductive age.', 'The reptile has become a reddish color but might not be as fertile as some counterparts.', 'This reptile appears immature but healthy.', 'Though this reptile is green it seems to be developing nicely and has well-developed talons.', 'This reptile appears ripe and ready for reproduction.', 'Despite this reptile’s bright red color, the talons are still rounded, thus immature.', 'This reptile appears to be healthy and well-formed, though still green.', 'This reptile appears healthy but is green and still has rounded talons.', 'Red, ripe, and ready! \xa0Well-formed talons and I deem mature enough for an attempt at reproduction.', 'The best yet. \xa0Great color, mature. \xa0Time to engage.', 'It appears to be Springtime. \xa0Conditions are right to attract a mate.', 'Rounded talons on this one. \xa0Perhaps worth a try, or at least a preliminary practice run.', 'Good color, but rounded talons. \xa0Maybe better wait a while. \xa0Perhaps next Spring.']",['I used the word “talons” but I’m not sure whether it’s appropriate for reptiles…🤷🏻\u200d♀️'],"[3.0, 5.0, 5.0, 8.0, 6.0, 3.0, 7.0, 8.0, 3.0, 5.0, 4.0, 9.0, 10.0, 10.0, 5.0, 3.0]",1100.512,"['Y_C', 'G_F', 'G_C', 'Y_F']","[10.0, 3.0, 7.0, 3.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low']","['F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'F']","['Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y']","['high', 'low', 'high', 'low']",97,"['Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_C', 'G_C', 'G_F', 'Y_F']",1,feet,color,C,G,Y,F,Yes,Curly/Pointy,6.0,Yes, Red,3.0
184,"['Too young', 'Maybe he is in the teen stage\xa0', 'He is still in teen stage\xa0', 'I don’t know now. Maybe his color is more red', 'Pink color', 'Green color means it is still young', 'Yellow green color means he is a baby', 'He has more pink now', 'The color is almost red now', 'Last time the pink one has 4, I am lost here', 'Yellow green color', 'More yellow in the color means it is younger\xa0', 'More red means more mature', 'Yellow green means still young', 'The grow stage start from yellow,yellow green,pink to red.']",[],"[1.0, 1.0, 5.0, 4.0, 10.0, 5.0, 3.0, 2.0, 4.0, 9.0, 5.0, 2.0, 3.0, 8.0, 4.0, 10.0]",649.894,"['G_F', 'G_C', 'Y_F', 'Y_C']","[3.0, 4.0, 6.0, 10.0]","['low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F']","['G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'G', 'Y']","['low', 'low', 'high', 'high']",184,"['G_C', 'G_F', 'Y_C', 'Y_F', 'Y_F', 'Y_C', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'G_C', 'Y_C', 'G_F', 'Y_F']",1,color,feet,F,G,Y,C,No,,,Yes, Red,6.0
180,"['The reptile has a large underbelly that could carry several eggs.', ""The reptile has a short tail, and can't burrow far enough into the ground to protect itself and its offspring from predators."", 'The reptile is red (which was previously more fertile than a green reptile), and has curved toes instead of pointed ones.', 'This reptile differs in color than the last (it is green and not red), but is far more fertile than the last green reptile I encountered. The difference is that this one (like the last extremely fertile red reptile in the previous round) has curved toes instead of pointed toes.', 'This reptile is red--which seems to help increase its fertility even without the adaptation of curved toes (as its toes are pointed).', 'This reptile is green, and green reptiles have generally seemed to be less fertile than red. It does have curved toes though, which has generally seemed to correlate with more fertile reptiles. I would expect this reptile to have a higher fertility score...', 'This reptile is red with curved toes. Red reptiles, as well as those with curved toes, seem to be more fertile.', 'This reptile is green (which seems to correlate with lower fertility), and has pointed toes (which seems to correlate with lower fertility).', 'This reptile is red (which seems to align with higher fertility) and has curved toes (which also seems to align with higher fertility).', 'This reptile is green and has pointed toes, both of which are features that seem to be aligned with lower fertility.', 'This reptile is red, which seems to be aligned with higher fertility. It has pointed toes, which usually are aligned with lower fertility, so this score seems high for this reptile.', 'Although this reptile is green (seemingly associated with lower fertility), it has curved toes (seemingly associated with higher fertility).', 'This reptile is red (seemingly associated with higher fertility) and has curved toes (which generally seemed to be correlated with higher fertility, but is perhaps not the case here).', 'This reptile is both green and has pointed toes, which seem to be indicators of lower fertility. It also has a less pronounced white stripe on its thigh (the red reptiles occasionally have a more pronounced stripe).', 'It is a red reptile with an orange underbelly (perhaps associated with higher fertility), even though it has pointed toes.', 'It is a green reptile (generally lower fertility).']",[],"[5.0, 3.0, 10.0, 10.0, 8.0, 4.0, 6.0, 4.0, 9.0, 1.0, 10.0, 5.0, 5.0, 4.0, 7.0, 3.0]",736.6479,"['Y_F', 'G_F', 'G_C', 'Y_C']","[8.0, 6.0, 3.0, 6.0]","['high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F']","['Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G']","['high', 'low', 'low', 'high']",180,"['Y_C', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F']",1,color,feet,F,G,Y,C,Yes, Round,4.0,Yes, Red,6.0
090,"['This reptile had a higher fertility score because its color was better camoflaged with the foliage/surrounding environment which it passed to the offspring', 'This fertility score was lower due to worse camoflage as the red stood out and lowered survival of offspring', 'the red coloring prevented camoflage when passed to offspring which caused a low fertility score', ""This reptile's offspring had a higher fertility score because they inherited a better green camoflage color"", 'This reptile has the highest fertility score because it not only passed down great camoflage traits, but it also appears larger which may indicate better nutrition, health, and genetics which got passed down', 'This reptile had low fertility due to lack of camoflage as it is red instead of green', 'This reptile has high fertility due to passing down the green camoflage color', 'This reptile has a higher fertility score than most other red reptiles, though still lower than all green ones seen so far. So the lack of camoflage still affected offspring, but this particular reptile may have had better health and genetics to increase survivability in offspring, or their were conditions in the environment that allowed red reptiles to blend in slightly more, or caused there to be less predators', 'Lack of camoflage', 'lack of camo', 'better camoflage', 'better camoflage, genetics, and favorable conditions', 'lack of camo', 'lack of camo', 'good camo color', 'has good camo, but maybe worse environmental or predation conditions or worse health and genetics that caused a lower than usual score for a green reptile']",['Fun!'],"[7.0, 4.0, 3.0, 7.0, 10.0, 2.0, 9.0, 6.0, 2.0, 5.0, 7.0, 10.0, 4.0, 4.0, 8.0, 5.0]",588.7155,"['Y_C', 'G_C', 'Y_F', 'G_F']","[3.0, 7.0, 5.0, 10.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['G', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",90,"['G_C', 'Y_F', 'Y_C', 'G_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C', 'G_F']",1,color,feet,F,Y,G,C,Yes, Round,4.0,Yes,Green,6.0
144,"['The reptile is bright colored', 'The reptile has the same bright color\xa0', 'This reptile blends in with its surrounding', 'This reptile blends in with the environment', 'The reptile color is brighter', 'The reptile stood out amongst the reptiles with similar coloring', 'This reptile is a lot lighter in color\xa0', 'The reptile has bright flamboyant color', 'This reptile is a deeper darker red\xa0', 'This reptile has a super light green color to it', 'This reptile is slightly dark green but still on the lighter side', 'This reptile is bright red but not as dark', 'This reptile has light green tone and a dot on its face', 'This green reptile has more spots on its back', 'This reptile is red\xa0', 'This reptile has a deeper red and has more spots on its back']",[],"[7.0, 9.0, 4.0, 4.0, 8.0, 6.0, 2.0, 7.0, 10.0, 1.0, 4.0, 8.0, 2.0, 5.0, 6.0, 8.0]",388.344,"['Y_C', 'G_C', 'G_F', 'Y_F']","[7.0, 2.0, 5.0, 9.0]","['high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'C']","['Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y']","['high', 'low', 'low', 'high']",144,"['Y_C', 'Y_F', 'G_F', 'G_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C']",1,color,feet,F,G,Y,C,No,,,Yes, Red,7.0
220,"[""The reptile received a fertility score of 7 because it shows moderate reproductive potential, meaning it's fairly healthy and likely to breed successfully, but not at the maximum level."", 'The reptile got an 8 fertility score because is has strong health, optimal environment conditions, and high reproductive readiness, placing it near the top of breeding potential.', 'The reptile got a fertility score of 3 because its health and environment are average, liming its reproductive potential.', 'The reptile got a fertility score of 6 because its health and environment are above average, enabling good reproductive potential.', 'The reptile got a fertility of 1 because its health and environment are poor, limiting its reproductive ability.', 'The reptile got a fertility score of 10 because it has optimal health, nutrition, and environmental conditions that maximize its reproductive potential.', 'The reptile got\xa0 fertility score of 9 because it shows excellent reproductive health and a high chance of successful breeding.', 'The reptile shows a fertility score of 2 because it has a low reproductive health, indicating poor breeding potential.', 'The reptile got a fertility score of 9 because it has an excellent reproductive health and a high chance of successful breeding.', ""The reptile got a fertility score of 4 because it shows strong reproductive health, meaning it's likely to breed successful."", ""The reptile shows a fertility score of 10 because it shows perfect reproductive health and optimal environment conditions, meaning it's primed for successful breeding."", 'The reptile shows a fertility score of 5 because of moderate health issues or the environmental issues which leads to reduce its breeding ability', 'The reptile shows a fertility score of 2 because it has a low breeding ability.', 'Because it has a high breeding ability.\xa0\xa0', 'Because it has a moderate ability of breeding.']","[""The study was nice i didn't have any errors, thank you""]","[4.0, 7.0, 8.0, 3.0, 6.0, 1.0, 10.0, 9.0, 2.0, 9.0, 4.0, 10.0, 5.0, 2.0, 9.0, 5.0]",2209.5513,"['Y_F', 'G_C', 'Y_C', 'G_F']","[5.0, 2.0, 8.0, 6.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F']","['G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G']","['high', 'low', 'high', 'low']",220,"['G_F', 'Y_C', 'Y_F', 'G_C', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'Y_F', 'G_F', 'Y_C', 'Y_C', 'G_C', 'Y_F', 'G_F']",1,color,feet,F,G,Y,C,Yes,Curly/Pointy,6.0,Yes, Red,6.0
