participant,free_texts,feedback,fertility_score,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_stripes,testing_categories,conditionOrder,training_image_order,attention_check,cogpro_predict,cogpro_explain,stimuli_clicks,reference_clicks,relevant_dim,irrelevant_dim,feet_high,stripes_low,stripes_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,stripes_discrete_slider.response,stripes_direction_slider.response,stripes_continuous_slider.response
018,"['smaller feet', 'pattern of lines', 'pattern of lines less desirable, larger feet more desirable.', 'larger feet and better line pattern\xa0', 'small feet and worse line pattern', 'worse line pattern, better feet', 'bigger feet', 'better lines, smaller feet, greener food']",[],"[1.0, 10.0, 4.0, 9.0, 2.0, 3.0, 7.0, 8.0]",368.3893,"['E_F', 'W_C', 'E_C', 'W_F']","[2.0, 10.0, 4.0, 6.0]","['low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'F', 'C', 'C', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'E', 'E', 'W', 'W']","['low', 'high', 'low', 'high']",18,"['E_F', 'W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_C', 'W_F']",1,7.0,5.0,3.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",stripes,feet,C,E,W,F,Yes, Curved/Pointy,6.0,Yes,Up/Left,7.0
006,"['It had 2 surviving offspring', 'It had 7 surviving offspring\xa0', 'It had 6 surviving offspring\xa0', 'It had 5 surviving offspring\xa0', 'It had 5 surviving offspring\xa0', 'It had 8 surviving offspring\xa0', 'It had 3 surviving offspring\xa0', 'It had 9 surviving offspring\xa0']",['I saw no other differences between the reptiles'],"[2.0, 7.0, 6.0, 5.0, 5.0, 8.0, 3.0, 9.0]",529.1989,"['E_F', 'W_C', 'E_C', 'W_F']","[6.0, 1.0, 7.0, 3.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'F', 'C', 'C', 'F']","['E', 'E', 'W', 'W', 'E', 'W', 'E', 'W']","['low', 'high', 'low', 'high']",6,"['E_C', 'E_F', 'W_F', 'W_C', 'E_F', 'W_C', 'E_C', 'W_F']",1,3.0,1.0,10.0,"[3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 3.0]",stripes,feet,F,E,W,C,Yes, Curved/Pointy,3.0,Yes,Up/Left,5.0
039,"['It’s the biggest one', 'It is the smallest one', 'It has different size eyes', 'It also has different size eyes', 'It it bigger than the rest', 'It looks healthy', 'It has all its limbs']",[],"[9.0, 3.0, 3.0, 2.0, 2.0, 4.0, 7.0, 6.0]",253.519,"['W_F', 'W_C', 'E_F', 'E_C']","[4.0, 10.0, 5.0, 4.0]","['high', 'low', 'high', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F']","['W', 'W', 'E', 'E', 'E', 'W', 'W', 'E']","['high', 'low', 'high', 'low']",39,"['W_F', 'W_C', 'E_F', 'E_C', 'E_C', 'W_C', 'W_F', 'E_F']",1,1.0,1.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,F,E,W,C,No,,,No,,
031,"['Less fertile because of season', 'Higher score because season is more favorable', 'Webbed feet and horizontal stripes makes them stand out which make them way more fertile', 'Fertility is standard with the current season.', 'The season makes them less fertile', 'The horizontal stripes and feet make them more fertile', 'The season makes them less fertile', 'The webbed feet makes them more fertile\xa0']",[],"[3.0, 5.0, 10.0, 6.0, 4.0, 7.0, 3.0, 6.0]",311.919,"['E_F', 'E_C', 'W_C', 'W_F']","[6.0, 9.0, 4.0, 3.0]","['low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'W', 'E', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",31,"['E_C', 'W_C', 'W_F', 'E_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,6.0,6.0,8.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",feet,stripes,F,E,W,C,Yes, Curved/Pointy,5.0,Yes,Up/Left,5.0
014,"[""He doesn't have webbed feet."", 'He has webbed feet', 'He has somewhat webbed feet', ""He doesn't have webbed feet"", 'He has individual digits', 'He has webbed feet', 'He has webbed feet', 'He has individual toes']",[],"[8.0, 2.0, 8.0, 1.0, 5.0, 4.0, 2.0, 6.0]",165.082,"['E_F', 'E_C', 'W_C', 'W_F']","[3.0, 7.0, 8.0, 4.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['W', 'E', 'W', 'E', 'W', 'W', 'E', 'E']","['low', 'low', 'high', 'high']",14,"['W_C', 'E_F', 'W_F', 'E_C', 'W_C', 'W_F', 'E_F', 'E_C']",1,6.0,5.0,1.0,"[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,E,W,F,Yes, Curved/Pointy,6.0,No,,
012,['They all look the same\xa0'],"['It was very hard to zoom and see the frogs in this, the study also had no back button so when trying to examine the frogs it would move to the next question. I feel if there was a back button I would have been able to complete this with ease.']","[9.0, 2.0, 3.0, 7.0, 10.0, 1.0, 8.0, 4.0]",193.92,"['E_F', 'E_C', 'W_F', 'W_C']","[3.0, 5.0, 4.0, 5.0]","['high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C']","['E', 'W', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",12,"['E_C', 'W_F', 'W_C', 'E_F', 'E_C', 'W_F', 'E_F', 'W_C']",1,7.0,2.0,3.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 1.0]",stripes,feet,C,W,E,F,Yes,Webbed,4.0,No,,
028,"['The reptile has thin stripes', 'Stripes go further down body', 'This reptile is lighter in color', 'This reptile is darker and thicker with stripes\xa0', 'It seems the darker the stripes on the reptile, the more fertile.\xa0', 'Lighter in color and less stripes than others', 'Darker and more stripes that 1', 'Even more stripes']",['Honestly I saw more or less stripes. I did not notice that they were going in different directions'],"[1.0, 9.0, 4.0, 7.0, 9.0, 1.0, 4.0, 8.0]",340.241,"['W_F', 'E_F', 'E_C', 'W_C']","[1.0, 8.0, 9.0, 4.0]","['low', 'high', 'low', 'high', 'high', 'low', 'low', 'high']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'E', 'W', 'W', 'E']","['low', 'high', 'high', 'low']",28,"['W_C', 'E_C', 'W_F', 'E_F', 'E_C', 'W_F', 'W_C', 'E_F']",1,7.0,7.0,2.0,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",stripes,feet,C,W,E,F,No,,,No,,
016,"[""This reptile's low fertility is likely due to its pale,easily spotted coloration and its small thin body suggesting low energy."", ""This reptile's high fertility is likely due to its dark,well camouflaged coloration and its robust body condition indicating good healthy and energy available for reproduction"", ""The reptile's moderately low fertility due to its smaller leaner body and its less distinct banding pattern even though its dark coloration provides reasonable camouflage."", 'High fertility by its dark,clearly banded coloration and its robust body condition for producing and caring for offspring.', 'Low fertility because of its dark banded coloration and robust body\xa0', 'Despite good camouflage and robust body,that breeding season likely had intermediate environmental condition such as moderate food suply', 'Environmental conditions were average or mixed', 'seasonal variability in food and predators,weather and disease can dramatically lowe actual fertility']",[],"[1.0, 7.0, 4.0, 7.0, 4.0, 6.0, 5.0, 2.0]",935.4687,"['W_C', 'E_C', 'W_F', 'E_F']","[2.0, 7.0, 4.0, 8.0]","['low', 'high', 'low', 'high', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['W', 'E', 'W', 'E', 'W', 'E', 'E', 'W']","['low', 'high', 'low', 'high']",16,"['W_F', 'E_C', 'W_C', 'E_F', 'W_C', 'E_F', 'E_C', 'W_F']",0,5.0,6.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",stripes,feet,C,W,E,F,No,,,No,,
017,"['This reptile is highly fertile and produced 7 offspring.', 'The reptile is highly fertile and produced 7 offspring', 'The strip pattern indicates high fertility', 'The stripe patter indicates lower fertility', 'Vertical stripe reptiles have higher fertility', 'Horizontal stripe reptils have higher fertility', 'Reptiles with vertical stripes appear to have low fertility', 'The horizontal stripe pattern indicates somewhat high fertility rates']",['Thought provoking'],"[7.0, 7.0, 8.0, 5.0, 7.0, 8.0, 3.0, 6.0]",508.6715,"['E_C', 'W_C', 'W_F', 'E_F']","[8.0, 5.0, 4.0, 7.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['W', 'E', 'W', 'E', 'E', 'W', 'E', 'W']","['high', 'high', 'low', 'low']",17,"['W_F', 'E_C', 'W_C', 'E_F', 'E_C', 'W_C', 'E_F', 'W_F']",1,5.0,4.0,7.0,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",feet,stripes,C,E,W,F,No,,,Yes, Up/Right,6.0
037,"['low breeding', 'high breeding', 'high breeding', 'medium breeding', 'medium breeding', 'high breeding', 'high breeding', 'low breeding']",[],"[1.0, 6.0, 9.0, 5.0, 5.0, 8.0, 9.0, 2.0]",194.9127,"['W_C', 'E_F', 'W_F', 'E_C']","[8.0, 2.0, 5.0, 9.0]","['low', 'high', 'high', 'low', 'low', 'high', 'high', 'low']","['F', 'C', 'C', 'F', 'F', 'C', 'C', 'F']","['E', 'W', 'E', 'W', 'W', 'W', 'E', 'E']","['high', 'low', 'low', 'high']",37,"['E_F', 'W_C', 'E_C', 'W_F', 'W_F', 'W_C', 'E_C', 'E_F']",1,6.0,6.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",feet,stripes,C,E,W,F,Yes, Curved/Pointy,6.0,No,,
